fname,labels,is_valid
000537.jpg,dog,False
000540.jpg,train,True
000541.jpg,car person,False
000543.jpg,car,True
000544.jpg,cat,False
000545.jpg,person car,True
000549.jpg,cat,False
000550.jpg,diningtable chair,False
000552.jpg,aeroplane,False
000554.jpg,person sofa car,False
000555.jpg,sofa person chair,False
000559.jpg,bottle tvmonitor,False
000563.jpg,boat,True
000564.jpg,diningtable bottle chair,True
000565.jpg,bicycle,False
000577.jpg,horse,False
000579.jpg,car motorbike person,True
000581.jpg,sheep,True
000582.jpg,dog,True
000583.jpg,motorbike person,False
000588.jpg,sheep,True
000589.jpg,person,False
000590.jpg,car,False
000591.jpg,person chair diningtable,True
000592.jpg,chair sofa pottedplant tvmonitor,False
000597.jpg,person chair tvmonitor,False
000598.jpg,tvmonitor chair,True
000599.jpg,chair sofa,True
000601.jpg,pottedplant,True
000605.jpg,car,False
000608.jpg,boat,True
000609.jpg,dog,False
000610.jpg,aeroplane,True
000612.jpg,person train,False
000613.jpg,diningtable chair person,True
000619.jpg,bird,True
000620.jpg,car,False
000622.jpg,cow,False
000625.jpg,chair person,False
000626.jpg,person tvmonitor,True
000628.jpg,car pottedplant person,True
000632.jpg,tvmonitor sofa chair,False
000633.jpg,tvmonitor person,False
000635.jpg,train,False
000637.jpg,bicycle,True
000645.jpg,bird,True
000647.jpg,aeroplane,True
000648.jpg,person bus aeroplane car,False
000653.jpg,car,True
000654.jpg,sheep person dog,False
000656.jpg,dog,True
000657.jpg,aeroplane,False
000660.jpg,sofa,True
000661.jpg,sofa pottedplant chair,True
000663.jpg,bus car,True
000667.jpg,horse,True
000671.jpg,bicycle,False
000672.jpg,car,False
000675.jpg,train,True
000676.jpg,sheep,True
000677.jpg,person,True
000680.jpg,bird,False
000682.jpg,bird,True
000684.jpg,chair person bottle,True
000685.jpg,motorbike,False
000686.jpg,motorbike,True
000688.jpg,car person,False
000689.jpg,train,False
000690.jpg,bicycle cat person,True
000694.jpg,person,True
000695.jpg,horse person,False
000699.jpg,dog chair,False
000700.jpg,car,False
000702.jpg,horse person,True
000705.jpg,cat,True
000707.jpg,tvmonitor chair,True
000709.jpg,person sofa chair,False
000710.jpg,cat chair pottedplant,False
000711.jpg,pottedplant,False
000712.jpg,train,True
000713.jpg,boat,True
000714.jpg,bird,True
000717.jpg,chair person,True
000720.jpg,dog,True
000726.jpg,bottle person,False
000728.jpg,cow,True
000729.jpg,pottedplant,False
000730.jpg,aeroplane,True
000731.jpg,bird person,False
000733.jpg,person motorbike,False
000738.jpg,aeroplane,True
000739.jpg,person,False
000740.jpg,boat,False
000742.jpg,boat person,True
000746.jpg,dog,True
000748.jpg,bus,True
000750.jpg,person,True
000752.jpg,sofa person,True
000753.jpg,diningtable bottle person,False
000754.jpg,bus bicycle car,False
000755.jpg,bicycle person,True
000756.jpg,dog,True
000760.jpg,horse person,True
000761.jpg,chair tvmonitor sofa,False
000763.jpg,aeroplane,True
000764.jpg,horse,False
000767.jpg,cow,False
000768.jpg,bus,False
000770.jpg,cow person bicycle motorbike,False
000771.jpg,chair sofa,True
000772.jpg,dog,True
000774.jpg,train,False
000776.jpg,car,True
000777.jpg,dog person,True
000780.jpg,chair pottedplant,True
000782.jpg,bus person,True
000786.jpg,cow person,True
000787.jpg,car,True
000791.jpg,train,True
000793.jpg,person bicycle bus,False
000794.jpg,cat,True
000796.jpg,bird,False
000797.jpg,dog person sofa,True
000799.jpg,horse person,True
000800.jpg,car,True
000802.jpg,person bicycle,True
000804.jpg,chair sofa,False
000805.jpg,dog person,False
000806.jpg,person,True
000808.jpg,cow,True
000810.jpg,person,False
000812.jpg,bicycle person,False
000814.jpg,person,True
000815.jpg,aeroplane,True
000816.jpg,bicycle person,True
000818.jpg,train car,False
000820.jpg,sheep,False
000822.jpg,motorbike,False
000823.jpg,car,False
000826.jpg,boat,True
000827.jpg,cow,False
000828.jpg,person,False
000829.jpg,bus car bicycle person,False
000830.jpg,diningtable chair,False
000831.jpg,train,True
000832.jpg,bird,True
000834.jpg,cow person,True
000842.jpg,dog person,True
000843.jpg,tvmonitor person,True
000845.jpg,aeroplane,False
000847.jpg,diningtable person,True
000848.jpg,person sofa chair,True
000849.jpg,dog,False
000850.jpg,bird,False
000851.jpg,motorbike person,False
000854.jpg,sofa chair pottedplant person,True
000855.jpg,bus bicycle person car,True
000857.jpg,cat,True
000859.jpg,person sofa chair,False
000860.jpg,car person,False
000862.jpg,person boat,True
000863.jpg,train,True
000865.jpg,diningtable chair pottedplant bottle person,False
000867.jpg,pottedplant,False
000868.jpg,sofa pottedplant,True
000871.jpg,car,False
000872.jpg,aeroplane,True
000874.jpg,person,True
000876.jpg,cat,True
000878.jpg,bicycle person,True
000879.jpg,horse person,True
000880.jpg,bird cow,True
000882.jpg,dog,True
000885.jpg,bicycle person,True
000887.jpg,aeroplane,False
000888.jpg,car,False
000889.jpg,pottedplant,False
000892.jpg,person motorbike,False
000895.jpg,person,True
000896.jpg,aeroplane,True
000898.jpg,sofa person,False
000899.jpg,train,False
000900.jpg,sheep,False
000902.jpg,dog person,False
000903.jpg,person chair,True
000904.jpg,cow person horse,False
000906.jpg,car person boat,False
000908.jpg,aeroplane,False
000911.jpg,car bus bicycle person,True
000912.jpg,cat,False
000915.jpg,diningtable person chair,False
000917.jpg,pottedplant bird chair,True
000918.jpg,person chair,True
000919.jpg,dog,False
000920.jpg,train person,True
000921.jpg,cat chair,True
000923.jpg,tvmonitor sofa pottedplant,True
000926.jpg,person,True
000929.jpg,diningtable bottle chair,False
000931.jpg,boat,True
000934.jpg,aeroplane,True
000935.jpg,car,True
000936.jpg,aeroplane,False
000937.jpg,car person,True
000943.jpg,chair person sofa,False
000946.jpg,train,True
000947.jpg,dog,True
000948.jpg,tvmonitor chair person,True
000949.jpg,bicycle person,True
000950.jpg,chair diningtable,False
000951.jpg,bottle,False
000954.jpg,bird,False
000958.jpg,dog,False
000962.jpg,cat pottedplant,False
000964.jpg,bird,False
000965.jpg,dog cat sofa,False
000966.jpg,train person,False
000967.jpg,person train,False
000971.jpg,bus person,True
000972.jpg,car,True
000973.jpg,bicycle,True
000977.jpg,car,False
000980.jpg,bird,False
000982.jpg,aeroplane person,True
000987.jpg,person car motorbike,False
000989.jpg,tvmonitor,False
000991.jpg,person horse,False
000993.jpg,train,False
000996.jpg,chair diningtable person,False
000997.jpg,sofa tvmonitor,False
000999.jpg,bottle person,False
001001.jpg,cat person,False
001002.jpg,boat,False
001004.jpg,bird,True
001008.jpg,motorbike,False
001009.jpg,cat,True
001010.jpg,tvmonitor,False
001011.jpg,tvmonitor person,False
001012.jpg,aeroplane,True
001014.jpg,dog person chair,False
001015.jpg,bird,False
001017.jpg,motorbike person,True
001018.jpg,sofa chair diningtable,True
001024.jpg,tvmonitor person,False
001027.jpg,chair sofa bicycle tvmonitor,True
001028.jpg,chair person,True
001036.jpg,person,False
001041.jpg,bird,True
001042.jpg,dog person,True
001043.jpg,cat,False
001045.jpg,bottle,True
001050.jpg,person bicycle,False
001052.jpg,car,True
001053.jpg,dog,True
001056.jpg,dog,True
001057.jpg,car person,False
001060.jpg,car bicycle person,False
001061.jpg,bird person,True
001062.jpg,tvmonitor,True
001064.jpg,horse person,False
001066.jpg,person,True
001068.jpg,motorbike,False
001069.jpg,car,True
001071.jpg,person horse car,False
001072.jpg,sofa person,True
001073.jpg,cow,False
001074.jpg,bird,True
001077.jpg,tvmonitor,False
001078.jpg,cat,False
001079.jpg,person pottedplant diningtable,False
001082.jpg,cat pottedplant,False
001083.jpg,train,True
001084.jpg,horse person,True
001091.jpg,person diningtable pottedplant,True
001092.jpg,dog person,True
001093.jpg,car,True
001097.jpg,person,True
001101.jpg,person motorbike,False
001102.jpg,aeroplane,True
001104.jpg,dog,True
001106.jpg,chair diningtable,False
001107.jpg,aeroplane,True
001109.jpg,person,True
001110.jpg,cat,True
001112.jpg,train car pottedplant,False
001113.jpg,person,False
001119.jpg,car,False
001121.jpg,boat,True
001124.jpg,bus car,True
001125.jpg,car person,True
001127.jpg,dog sofa,False
001129.jpg,sofa person,False
001130.jpg,cow,False
001136.jpg,boat bird,True
001137.jpg,person,True
001140.jpg,dog person,False
001142.jpg,pottedplant,True
001143.jpg,cow,True
001144.jpg,aeroplane,True
001145.jpg,dog person,True
001147.jpg,person,False
001148.jpg,car,True
001149.jpg,sofa tvmonitor pottedplant,True
001151.jpg,dog person,False
001152.jpg,bus person,False
001154.jpg,sofa pottedplant,True
001156.jpg,cat,False
001158.jpg,chair,False
001160.jpg,aeroplane,True
001161.jpg,train,True
001164.jpg,diningtable person chair pottedplant,True
001166.jpg,tvmonitor,True
001168.jpg,person,False
001170.jpg,person sofa,True
001171.jpg,motorbike person,False
001172.jpg,train,False
001174.jpg,sofa chair diningtable,False
001175.jpg,person tvmonitor,True
001176.jpg,boat,True
001182.jpg,cow,False
001184.jpg,bicycle,True
001185.jpg,cat person diningtable bottle,True
001186.jpg,bicycle person,True
001187.jpg,chair sofa,True
001191.jpg,sheep,False
001192.jpg,dog,True
001194.jpg,bicycle,False
001199.jpg,motorbike,True
001200.jpg,train,True
001201.jpg,motorbike person,True
001203.jpg,dog,True
001204.jpg,sofa tvmonitor chair,False
001205.jpg,boat,False
001206.jpg,person dog,True
001207.jpg,bird,False
001209.jpg,dog,False
001211.jpg,cat dog chair,True
001212.jpg,person pottedplant,False
001214.jpg,chair tvmonitor sofa,False
001215.jpg,bicycle,True
001221.jpg,train person,True
001224.jpg,bicycle person,True
001225.jpg,dog,True
001226.jpg,dog,False
001229.jpg,bottle person,False
001230.jpg,aeroplane,False
001231.jpg,chair sofa,True
001233.jpg,cat,True
001234.jpg,person dog tvmonitor,False
001236.jpg,horse person,True
001237.jpg,car,False
001239.jpg,dog,False
001240.jpg,person,False
001241.jpg,horse person,True
001247.jpg,boat,True
001248.jpg,person,False
001250.jpg,bird,True
001254.jpg,person horse,True
001258.jpg,car,False
001259.jpg,person bicycle,True
001260.jpg,bird,True
001263.jpg,chair sofa diningtable,False
001265.jpg,person,True
001266.jpg,motorbike person,True
001268.jpg,car,False
001269.jpg,person,False
001270.jpg,aeroplane,False
001272.jpg,bottle person,True
001273.jpg,bird,False
001274.jpg,cat,True
001277.jpg,aeroplane,True
001279.jpg,person chair,False
001281.jpg,car person,True
001284.jpg,person,True
001286.jpg,motorbike,True
001287.jpg,horse person,False
001288.jpg,aeroplane,True
001289.jpg,bird,True
001290.jpg,car,True
001292.jpg,bottle person car,True
001293.jpg,dog,True
001294.jpg,car,False
001298.jpg,person boat,True
001299.jpg,cow,False
001304.jpg,person bicycle,False
001309.jpg,bicycle person,False
001310.jpg,sheep person,True
001311.jpg,bicycle person,True
001312.jpg,cow,False
001314.jpg,cat,False
001315.jpg,sofa person,False
001316.jpg,dog,True
001323.jpg,train,False
001324.jpg,dog,True
001325.jpg,boat person,False
001326.jpg,sofa,False
001327.jpg,person,False
001330.jpg,car person,True
001332.jpg,aeroplane,False
001333.jpg,motorbike person,False
001334.jpg,car,False
001337.jpg,horse person,True
001341.jpg,bird,True
001343.jpg,tvmonitor chair sofa,True
001345.jpg,chair,False
001346.jpg,bottle person,False
001348.jpg,bird,False
001350.jpg,chair person,True
001352.jpg,person chair car,True
001360.jpg,car,True
001361.jpg,bird,True
001362.jpg,person sofa,True
001364.jpg,car,False
001365.jpg,bird,False
001371.jpg,car,True
001375.jpg,bird,True
001378.jpg,person bird,False
001383.jpg,train,True
001384.jpg,car,False
001385.jpg,bus car,False
001386.jpg,motorbike car,True
001387.jpg,cat,True
001388.jpg,sofa person,False
001390.jpg,person sofa,False
001393.jpg,diningtable chair person bottle,False
001395.jpg,cat,False
001397.jpg,dog,True
001400.jpg,aeroplane,True
001402.jpg,sofa bicycle,False
001404.jpg,cat,False
001405.jpg,horse person,False
001406.jpg,dog person sofa,False
001408.jpg,bottle person pottedplant,False
001409.jpg,car person,False
001413.jpg,bird,True
001414.jpg,person car,False
001418.jpg,dog,False
001420.jpg,horse person pottedplant,False
001421.jpg,person chair diningtable,False
001426.jpg,motorbike person,False
001427.jpg,bicycle person,False
001430.jpg,diningtable person pottedplant tvmonitor,True
001432.jpg,car,True
001434.jpg,person bus,False
001436.jpg,aeroplane,False
001439.jpg,diningtable chair,True
001441.jpg,chair diningtable,True
001442.jpg,cow,False
001443.jpg,cat chair,True
001444.jpg,sofa chair pottedplant bottle tvmonitor,True
001445.jpg,bus person car,True
001450.jpg,person motorbike,False
001451.jpg,diningtable bottle person pottedplant,False
001453.jpg,bird,False
001455.jpg,bicycle person car,False
001457.jpg,sofa chair,False
001460.jpg,person bicycle,True
001463.jpg,boat person,True
001464.jpg,pottedplant,True
001465.jpg,chair diningtable bottle,True
001466.jpg,car,True
001467.jpg,dog,True
001468.jpg,cow,False
001470.jpg,tvmonitor,False
001472.jpg,car person,True
001475.jpg,motorbike person,True
001479.jpg,person pottedplant,False
001480.jpg,sofa person,False
001481.jpg,boat,True
001483.jpg,train,False
001484.jpg,boat person,True
001485.jpg,motorbike person,False
001486.jpg,cat,False
001488.jpg,car,False
001490.jpg,dog bottle,True
001492.jpg,car,False
001493.jpg,person bottle,True
001494.jpg,car,False
001497.jpg,boat,True
001498.jpg,person,False
001499.jpg,person,False
001501.jpg,bicycle person,False
001504.jpg,person,False
001509.jpg,person,True
001510.jpg,person motorbike,True
001512.jpg,bird,False
001514.jpg,person sofa,True
001515.jpg,horse,False
001517.jpg,dog chair,False
001521.jpg,person horse,False
001522.jpg,bottle,True
001523.jpg,horse person,True
001524.jpg,dog person,False
001526.jpg,person,False
001528.jpg,bird,False
001529.jpg,tvmonitor sofa chair,False
001531.jpg,chair person,True
001532.jpg,car bus motorbike person,False
001536.jpg,tvmonitor person,True
001537.jpg,person diningtable bottle,True
001539.jpg,bicycle,False
001541.jpg,cat,True
001543.jpg,tvmonitor sofa,True
001544.jpg,person,True
001545.jpg,aeroplane,True
001548.jpg,person chair,False
001553.jpg,bicycle,True
001554.jpg,dog person,True
001555.jpg,cat,False
001556.jpg,horse,False
001557.jpg,aeroplane person,False
001559.jpg,car,False
001561.jpg,person car,True
001563.jpg,diningtable person bottle chair,False
001565.jpg,train,True
001571.jpg,person,True
001576.jpg,car,False
001577.jpg,chair diningtable person,True
001579.jpg,bicycle person,False
001580.jpg,person sofa pottedplant bottle,False
001582.jpg,cat,True
001586.jpg,horse person,False
001588.jpg,tvmonitor sofa,True
001590.jpg,bottle tvmonitor,False
001593.jpg,person diningtable pottedplant,False
001594.jpg,sheep person dog,False
001595.jpg,bus,True
001597.jpg,bird,False
001598.jpg,sheep,True
001603.jpg,person bicycle,True
001604.jpg,car,False
001607.jpg,dog,False
001608.jpg,person,True
001610.jpg,cat,False
001611.jpg,person,False
001612.jpg,train,False
001614.jpg,cow,True
001617.jpg,motorbike person,True
001618.jpg,car,True
001622.jpg,bicycle person car,False
001627.jpg,person,False
001628.jpg,horse person,True
001630.jpg,person bicycle,False
001632.jpg,horse,True
001633.jpg,diningtable chair,False
001636.jpg,bicycle,False
001638.jpg,aeroplane,True
001640.jpg,car person,True
001642.jpg,dog,True
001643.jpg,sofa dog,False
001647.jpg,bird,True
001649.jpg,chair person,False
001650.jpg,tvmonitor sofa chair,False
001651.jpg,person chair,False
001653.jpg,train,True
001654.jpg,bicycle person car,False
001661.jpg,sheep,False
001662.jpg,car,False
001669.jpg,cat,False
001673.jpg,cat bottle,False
001675.jpg,dog,True
001676.jpg,car,False
001677.jpg,diningtable chair,True
001678.jpg,tvmonitor person chair,True
001680.jpg,dog,False
001682.jpg,person bottle,True
001683.jpg,chair diningtable,False
001684.jpg,bird,False
001685.jpg,bird,True
001686.jpg,person,True
001688.jpg,motorbike,False
001689.jpg,person chair,True
001690.jpg,person horse,False
001691.jpg,bus person,True
001693.jpg,car,True
001699.jpg,horse car,False
001707.jpg,bird,False
001708.jpg,aeroplane,False
001711.jpg,horse person,False
001713.jpg,cow,False
001714.jpg,sheep,False
001717.jpg,tvmonitor person chair,False
001718.jpg,dog,True
001721.jpg,person,False
001723.jpg,motorbike person,False
001724.jpg,horse,True
001725.jpg,tvmonitor person,True
001726.jpg,bicycle person,True
001727.jpg,horse person,True
001729.jpg,sofa pottedplant person chair,False
001730.jpg,horse person,True
001732.jpg,boat,False
001733.jpg,sheep,False
001734.jpg,sheep,False
001738.jpg,dog,False
001739.jpg,bird,False
001741.jpg,cow,False
001746.jpg,car sofa,True
001747.jpg,cat,True
001749.jpg,person,True
001750.jpg,sheep,False
001752.jpg,tvmonitor,False
001754.jpg,bottle person pottedplant,False
001755.jpg,cat,True
001756.jpg,diningtable chair bottle person,True
001758.jpg,dog person,False
001759.jpg,dog person,False
001761.jpg,aeroplane,False
001765.jpg,motorbike,False
001766.jpg,person horse,False
001768.jpg,cat,False
001771.jpg,chair,True
001772.jpg,person,True
001775.jpg,train person,True
001777.jpg,bottle chair diningtable pottedplant,False
001778.jpg,dog,True
001780.jpg,motorbike car,False
001782.jpg,bird,True
001784.jpg,person,True
001785.jpg,person,True
001787.jpg,bird,False
001789.jpg,train person,False
001793.jpg,person diningtable,True
001795.jpg,person,True
001797.jpg,sofa person,True
001799.jpg,cow person,True
001800.jpg,sofa person,False
001801.jpg,motorbike person car,True
001806.jpg,cow person,False
001807.jpg,horse person,True
001809.jpg,tvmonitor person sofa,False
001810.jpg,tvmonitor person,False
001816.jpg,cat,True
001818.jpg,bird,True
001821.jpg,car,False
001825.jpg,cat dog,False
001827.jpg,tvmonitor,True
001828.jpg,chair person,False
001830.jpg,person,True
001832.jpg,person dog,False
001833.jpg,bicycle person,True
001834.jpg,diningtable,False
001836.jpg,sofa person,False
001837.jpg,person chair,True
001840.jpg,cat,False
001841.jpg,person,False
001842.jpg,aeroplane,True
001843.jpg,bottle person,False
001845.jpg,car,False
001847.jpg,boat,True
001849.jpg,person,True
001853.jpg,bird,False
001854.jpg,motorbike person,False
001855.jpg,bird,True
001858.jpg,aeroplane,False
001860.jpg,chair bird,True
001861.jpg,bicycle person,False
001862.jpg,car,True
001864.jpg,chair person,False
001870.jpg,aeroplane,False
001872.jpg,sheep,True
001875.jpg,tvmonitor,True
001877.jpg,car,True
001878.jpg,sofa,True
001881.jpg,car person,False
001882.jpg,sofa chair,True
001887.jpg,chair diningtable person boat,True
001888.jpg,cat,True
001892.jpg,bus,False
001894.jpg,person horse,False
001896.jpg,bird,False
001898.jpg,tvmonitor pottedplant,False
001899.jpg,car motorbike person,True
001901.jpg,chair diningtable sofa,True
001902.jpg,bus car person,False
001903.jpg,motorbike bicycle person,False
001904.jpg,person,False
001906.jpg,cat,False
001907.jpg,train,True
001911.jpg,aeroplane,True
001915.jpg,bird,False
001918.jpg,person,True
001920.jpg,sofa person tvmonitor,True
001922.jpg,aeroplane,False
001927.jpg,horse person,True
001928.jpg,motorbike,False
001930.jpg,train person,False
001931.jpg,car,True
001932.jpg,person chair,True
001933.jpg,bird,True
001934.jpg,cat,True
001936.jpg,aeroplane,True
001937.jpg,car,False
001938.jpg,person,False
001940.jpg,cat dog,True
001941.jpg,motorbike person,False
001944.jpg,car person chair,True
001945.jpg,person horse,False
001948.jpg,motorbike,True
001950.jpg,person car,False
001952.jpg,bird,False
001954.jpg,car,False
001958.jpg,person,True
001960.jpg,horse,False
001962.jpg,bus car,True
001963.jpg,person bottle diningtable chair,False
001964.jpg,bird,True
001970.jpg,bottle,True
001971.jpg,cat chair,False
001972.jpg,dog,True
001976.jpg,boat,True
001977.jpg,person,False
001978.jpg,person chair,False
001980.jpg,person car,False
001981.jpg,cat,False
001982.jpg,cat,True
001985.jpg,dog,False
001989.jpg,person,False
001995.jpg,chair,False
001999.jpg,chair person,False
002000.jpg,boat person,True
002001.jpg,aeroplane,False
002002.jpg,chair,False
002004.jpg,tvmonitor,False
002006.jpg,cat,False
002011.jpg,dog,True
002012.jpg,person,False
002015.jpg,pottedplant,False
002019.jpg,car,True
002020.jpg,bird,False
002021.jpg,cow,True
002022.jpg,motorbike person,True
002023.jpg,car,True
002024.jpg,bus person,True
002025.jpg,chair diningtable,False
002027.jpg,bus,False
002030.jpg,person bottle diningtable,True
002034.jpg,cat dog,False
002036.jpg,train,True
002037.jpg,bird,False
002039.jpg,boat,False
002042.jpg,horse,False
002043.jpg,horse,False
002045.jpg,car,True
002047.jpg,sofa,False
002049.jpg,pottedplant,False
002051.jpg,person bird,False
002054.jpg,train,True
002055.jpg,dog person sofa,False
002056.jpg,bus car,False
002058.jpg,cat,True
002061.jpg,sofa diningtable person,False
002063.jpg,diningtable chair,True
002064.jpg,bicycle diningtable chair,True
002067.jpg,cat,True
002068.jpg,train,False
002069.jpg,bicycle person,False
002070.jpg,sofa,True
002082.jpg,motorbike person,True
002083.jpg,train,True
002086.jpg,tvmonitor,True
002088.jpg,cow,True
